formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1144}{55555555}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1145}{55555544}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1154}{55554455}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1155}{55554444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1111}{55555555}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1115}{55555511}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1151}{55551155}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1155}{55551111}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1144}{55551111}{3333333333333333}}, False, 71, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1141}{55551144}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1114}{55554411}{3333333333333333}}, False, 71, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1111}{55554444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1544}{55115555}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1545}{55115544}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1554}{55114455}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{1555}{55114444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1511}{55115555}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1515}{55115511}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1551}{55111155}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{1555}{55111111}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1544}{55111111}{3333333333333333}}, False, 71, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1541}{55111144}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1514}{55114411}{3333333333333333}}, False, 71, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{1511}{55114444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5144}{11555555}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5145}{11555544}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5154}{11554455}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5155}{11554444}{3333333333333333}}, False, 57, 10
